Group,Trait,House and Planets,Status,Points
Emotional & Relationship Trait,Supportiveness,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Supportiveness,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Supportiveness,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Supportiveness,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Supportiveness,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Supportiveness,4th house & lord (home/heart),4H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Supportiveness,4th house & lord (home/heart),"4H lord average, some benefic support",1
Emotional & Relationship Trait,Supportiveness,4th house & lord (home/heart),4H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Supportiveness,4th house & lord (home/heart),4H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Supportiveness,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Supportiveness,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Emotional & Relationship Trait,Supportiveness,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Supportiveness,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Problem-Solving,Base,Base,5
Mental Growth & Adaptability Trait,Problem-Solving,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Problem-Solving,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Problem-Solving,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Problem-Solving,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Problem-Solving,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Problem-Solving,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Problem-Solving,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Problem-Solving,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Problem-Solving,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Problem-Solving,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Problem-Solving,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Problem-Solving,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Problem-Solving,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Problem-Solving,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Problem-Solving,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Problem-Solving,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Affection & Intimacy,Base,Base,5
Emotional & Relationship Trait,Affection & Intimacy,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Affection & Intimacy,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Affection & Intimacy,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Affection & Intimacy,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Affection & Intimacy,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Affection & Intimacy,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Affection & Intimacy,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Affection & Intimacy,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Affection & Intimacy,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Affection & Intimacy,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Affection & Intimacy,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Affection & Intimacy,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Affection & Intimacy,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Affection & Intimacy,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Affection & Intimacy,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Affection & Intimacy,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Affection & Intimacy,7th house & lord (partnerships),7H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Affection & Intimacy,7th house & lord (partnerships),"7H lord average, some benefic support",1
Emotional & Relationship Trait,Affection & Intimacy,7th house & lord (partnerships),7H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Affection & Intimacy,7th house & lord (partnerships),7H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Responsibility & Reliability,Base,Base,5
Personal Character & Ethics Trait,Responsibility & Reliability,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Responsibility & Reliability,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Responsibility & Reliability,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Responsibility & Reliability,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Responsibility & Reliability,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Responsibility & Reliability,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Responsibility & Reliability,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Responsibility & Reliability,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Responsibility & Reliability,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Responsibility & Reliability,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Personal Character & Ethics Trait,Responsibility & Reliability,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Responsibility & Reliability,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Responsibility & Reliability,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Responsibility & Reliability,10th house & lord (career/status),"10H lord average, some benefic support",1
Personal Character & Ethics Trait,Responsibility & Reliability,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Responsibility & Reliability,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Shared Values,Base,Base,5
Personal Character & Ethics Trait,Shared Values,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Shared Values,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Shared Values,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Shared Values,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Shared Values,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Shared Values,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Shared Values,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Shared Values,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Shared Values,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Shared Values,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Personal Character & Ethics Trait,Shared Values,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Shared Values,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Shared Values,2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Shared Values,2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Personal Character & Ethics Trait,Shared Values,2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Shared Values,2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Sense of Humor,Base,Base,5
Emotional & Relationship Trait,Sense of Humor,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Sense of Humor,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Sense of Humor,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Sense of Humor,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Sense of Humor,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Sense of Humor,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Sense of Humor,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Sense of Humor,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Sense of Humor,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Sense of Humor,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Sense of Humor,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Sense of Humor,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Sense of Humor,5th house & lord (intellect/creativity),5H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Sense of Humor,5th house & lord (intellect/creativity),"5H lord average, some benefic support",1
Emotional & Relationship Trait,Sense of Humor,5th house & lord (intellect/creativity),5H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Sense of Humor,5th house & lord (intellect/creativity),5H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Base,Base,5
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Sun (identity & leadership),Sun very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Sun (identity & leadership),Sun strong or benefic-supported for this trait,1
